5392: Name Tag Refill,4,3,0,0,3,2,8.5,11,1,0.25,1,0.25
5395: Name Badge,2.938,1.896,0.812,0.604,4,2,8.5,11,0.802,0.907,0.802,0.907
5510: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
5512: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
5513: Address Labels,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
5514: Address Labels,4,3.333,0.188,0,3,2,8.5,11,0.5,0.156,0.5,0.156
5520: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
5522: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
5523: Address Labels,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
5524: Address Labels,4,3.333,0.188,0,3,2,8.5,11,0.5,0.156,0.5,0.156
5560: Address Labels,2.625,1,0.156,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
